GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012
0500000US24011,24011,"Caroline County, Maryland",33066,33066,33068,32954,32718
0500000US24013,24013,"Carroll County, Maryland",167134,167134,167253,167313,167217
0500000US24015,24015,"Cecil County, Maryland",101108,101108,101175,101628,101696
0500000US24017,24017,"Charles County, Maryland",146551,146551,147113,149242,150592
0500000US24019,24019,"Dorchester County, Maryland",32618,32618,32660,32703,32551
0500000US24021,24021,"Frederick County, Maryland",233385,233385,234220,237309,239582
0500000US24023,24023,"Garrett County, Maryland",30097,30097,30075,30097,29854
0500000US24025,24025,"Harford County, Maryland",244826,244826,245243,246651,248622
0500000US24027,24027,"Howard County, Maryland",287085,287085,288607,293879,299430
0500000US24029,24029,"Kent County, Maryland",20197,20197,20184,20265,20191
0500000US24031,24031,"Montgomery County, Maryland",971777,971777,976006,991645,1004709
0500000US24033,24033,"Prince George's County, Maryland",863420,863420,865705,874045,881138
0500000US24035,24035,"Queen Anne's County, Maryland",47798,47798,47878,48400,48595
0500000US24037,24037,"St. Mary's County, Maryland",105151,105151,105778,107681,108987
0500000US24039,24039,"Somerset County, Maryland",26470,26470,26490,26370,26253
0500000US24041,24041,"Talbot County, Maryland",37782,37782,37856,37974,38098
0500000US24043,24043,"Washington County, Maryland",147430,147430,147788,148817,149180
0500000US24045,24045,"Wicomico County, Maryland",98733,98733,98907,99965,100647
0500000US24047,24047,"Worcester County, Maryland",51454,51454,51459,51446,51578
0500000US24510,24510,"Baltimore city, Maryland",620961,620961,620971,620216,621342
0500000US25001,25001,"Barnstable County, Massachusetts",215888,215888,215959,215662,215423
0500000US25003,25003,"Berkshire County, Massachusetts",131219,131219,131232,130447,130016
0500000US25005,25005,"Bristol County, Massachusetts",548285,548285,549223,549612,551082
0500000US25007,25007,"Dukes County, Massachusetts",16535,16535,16574,16787,17041
0500000US25009,25009,"Essex County, Massachusetts",743159,743167,744915,750824,755618
0500000US25011,25011,"Franklin County, Massachusetts",71372,71372,71298,71646,71540
0500000US25013,25013,"Hampden County, Massachusetts",463490,463490,464005,465603,465923
0500000US25015,25015,"Hampshire County, Massachusetts",158080,158080,159188,159743,159795
0500000US25017,25017,"Middlesex County, Massachusetts",1503085,1503077,1506714,1522050,1537215
0500000US25019,25019,"Nantucket County, Massachusetts",10172,10172,10148,10130,10298
0500000US25021,25021,"Norfolk County, Massachusetts",670850,670850,672858,677683,681845
0500000US25023,25023,"Plymouth County, Massachusetts",494919,494919,495891,498275,499759
0500000US25025,25025,"Suffolk County, Massachusetts",722023,722023,724915,734756,744426
0500000US25027,25027,"Worcester County, Massachusetts",798552,798552,800339,803785,806163
0500000US26001,26001,"Alcona County, Michigan",10942,10942,10899,10787,10635
0500000US26003,26003,"Alger County, Michigan",9601,9601,9554,9580,9541
0500000US26005,26005,"Allegan County, Michigan",111408,111408,111472,111591,112039
0500000US26007,26007,"Alpena County, Michigan",29598,29598,29551,29352,29234
0500000US26009,26009,"Antrim County, Michigan",23580,23580,23511,23408,23406
0500000US26011,26011,"Arenac County, Michigan",15899,15899,15873,15622,15477
0500000US26013,26013,"Baraga County, Michigan",8860,8860,8838,8821,8683
0500000US26015,26015,"Barry County, Michigan",59173,59173,59062,58936,58990
0500000US26017,26017,"Bay County, Michigan",107771,107771,107723,107273,106935
0500000US26019,26019,"Benzie County, Michigan",17525,17525,17517,17489,17465
0500000US26021,26021,"Berrien County, Michigan",156813,156813,156799,156489,156067
0500000US26023,26023,"Branch County, Michigan",45248,45248,45147,43902,43868
0500000US26025,26025,"Calhoun County, Michigan",136146,136146,136075,135529,135099
0500000US26027,26027,"Cass County, Michigan",52293,52293,52197,52574,52242
0500000US26029,26029,"Charlevoix County, Michigan",25949,25949,25909,26003,26023
0500000US26031,26031,"Cheboygan County, Michigan",26152,26150,26096,25974,25835
0500000US26033,26033,"Chippewa County, Michigan",38520,38520,38482,38776,38917
0500000US26035,26035,"Clare County, Michigan",30926,30926,30993,30955,30753
0500000US26037,26037,"Clinton County, Michigan",75382,75382,75400,75838,76001
0500000US26039,26039,"Crawford County, Michigan",14074,14074,14040,14012,14009
0500000US26041,26041,"Delta County, Michigan",37069,37069,37068,36955,36884
0500000US26043,26043,"Dickinson County, Michigan",26168,26168,26137,26094,26220
0500000US26045,26045,"Eaton County, Michigan",107759,107763,107878,107970,108008
0500000US26047,26047,"Emmet County, Michigan",32694,32694,32663,32800,32915
0500000US26049,26049,"Genesee County, Michigan",425790,425790,425152,422053,418408
